"","points","recProbs","distantProbs","deathProbs","hist","riskLevel"
"1",0,5.6190859141811,3.34115967198657,2.42540660841358,0," < 25%"
"2",1,6.594893788696,4.0219232684697,2.93599854760254,0," < 25%"
"3",2,7.7331005634469,4.83788485641897,3.55210759296756,0," < 25%"
"4",3,9.05803472681745,5.81430894573398,4.29461778045428,0," < 25%"
"5",4,10.596632028135,6.98046355673793,5.18811528961961,0," < 25%"
"6",5,12.3782964890992,8.369922468891,6.26134006002142,0," < 25%"
"7",6,14.4345482244627,10.0207187719972,7.54758869776934,0.0930232558139535," < 25%"
"8",7,16.7983744522225,11.9752442848672,9.08500102795923,0.372093023255814," < 25%"
"9",8,19.5031824998607,14.2797486340874,10.9166294123442,1.86046511627907," < 25%"
"10",9,22.5812391090359,16.9832436227881,13.0901464548173,1.95348837209302," < 25%"
"11",10,26.0614745333796,20.1355673633516,15.6569929168174,6.7906976744186," 25-50%"
"12",11,29.966541673992,23.7843187722053,18.6707064955021,8.27906976744186," 25-50%"
"13",12,34.3090625924441,27.9703561133197,22.1841122154068,8.09302325581395," 25-50%"
"14",13,39.0870838686333,32.7215965348485,26.2450149289769,9.76744186046512," 25-50%"
"15",14,44.2789172795475,38.0450068766497,30.8900471625709,8.55813953488372," 25-50%"
"16",15,49.8377792009792,43.9170046989441,36.1364448079001,11.1627906976744," 25-50%"
"17",16,55.686964088645,50.273060435705,41.9718243748157,10.6976744186047," 50-75%"
"18",17,61.7166678133564,56.998143045375,48.3426069379384,8.65116279069767," 50-75%"
"19",18,67.7839366948195,63.9207199060812,55.1426442066097,7.62790697674419," 50-75%"
"20",19,73.7174049603243,70.8140444073033,62.2048288082667,6.13953488372093," 50-75%"
"21",20,79.3282660876721,77.4088756758618,69.2997800263636,5.48837209302326," > 75%"
"22",21,84.4280361361142,83.4206964333835,76.1464976271607,2.6046511627907," > 75%"
"23",22,88.8519339748057,88.5910051372594,82.4391551822857,1.58139534883721," > 75%"
"24",23,92.4842574401612,92.7361225623321,87.8907477643712,0.27906976744186," > 75%"
